# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Dec 16 09:44:13 2021
#
# User preference: *
#
# CONSTRAINT:  where (discoverymethod like '%Transit%')
#
# COLUMN pl_name:        Planet Name 0
# COLUMN discoverymethod: Discovery Method 
# COLUMN pl_orbper:      Orbital Period [days] 2
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag 
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]) 6 
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius] 10
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass] 14
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity 18
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg] 22
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
#
pl_name,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim
CoRoT-20 b,Transit,9.24285000,0.00030000,-0.00030000,0,0.090100,0.002100,-0.002200,0,9.416,0.448,-0.448,0,1344.42090,82.63580,-79.45750,0,0.575000,0.016000,-0.014000,0,88.210,0.530,-0.530,0
CoRoT-21 b,Transit,2.72474000,0.00014000,-0.00014000,0,0.041700,0.001100,-0.001100,0,14.572,1.569,-1.569,0,718.29580,98.52730,-98.52730,0,0.000000,,,0,86.800,2.100,-2.100,0
CoRoT-21 b,Transit,2.72474000,0.00014000,-0.00014000,0,0.041600,0.000940,-0.001000,0,14.572,1.569,-1.569,0,705.58260,177.98480,-177.98480,0,0.390000,,,1,86.800,2.100,-2.100,0
CoRoT-22 b,Transit,9.75598000,0.00011000,-0.00011000,0,0.092000,0.001400,-0.001400,0,4.880,0.170,-0.390,0,12.20000,14.00000,-8.80000,0,0.077000,0.300000,-0.042000,0,89.749,0.032,-0.900,0
CoRoT-23 b,Transit,3.63130000,0.00010000,-0.00010000,0,0.048090,0.001280,-0.001040,0,13.227,2.130,-1.233,0,972.55980,101.70560,-98.52730,0,,,,,84.700,3.400,-3.000,0
CoRoT-23 b,Transit,3.63130000,0.00010000,-0.00010000,0,0.048400,0.001100,-0.001200,0,11.769,1.457,-1.457,0,982.09470,104.88390,-104.88390,0,0.160000,,,1,85.700,2.600,-1.500,0
CoRoT-23 b,Transit,3.63130000,0.00010000,-0.00010000,0,0.048000,0.004000,-0.004000,0,11.770,1.460,-1.460,0,889.90000,95.30000,-95.30000,0,0.160000,0.020000,-0.020000,0,85.700,2.600,-1.500,0
CoRoT-24 b,Transit,5.11340000,0.00060000,-0.00060000,0,0.056000,0.002000,-0.002000,0,3.700,0.400,-0.400,0,5.70000,,,1,0.000000,,,0,86.500,2.000,-2.000,0
CoRoT-24 c,Transit,11.75900000,0.00630000,-0.00630000,0,0.098000,0.003000,-0.003000,0,5.000,0.500,-0.500,0,28.00000,11.00000,-11.00000,0,0.000000,,,0,89.000,1.000,-1.600,0
CoRoT-25 b,Transit,4.86069000,0.00006000,-0.00006000,0,0.057890,0.001900,-0.000930,0,12.106,3.363,-1.121,0,93.12419,19.38763,-19.06980,0,0.220000,,,1,84.500,0.800,-0.300,0
CoRoT-25 b,Transit,4.86069000,0.00006000,-0.00006000,0,0.057800,0.002000,-0.000900,0,12.110,3.400,-1.120,0,85.81000,12.71000,-12.71000,0,0.000000,,,0,84.500,0.800,-0.300,0
CoRoT-26 b,Transit,4.20474000,0.00005000,-0.00005000,0,0.052500,0.000940,-0.000980,0,14.123,1.457,-0.785,0,184.34140,63.56600,-34.96130,0,0.410000,,,1,86.800,2.200,-1.400,0
CoRoT-26 b,Transit,4.20474000,0.00005000,-0.00005000,0,0.052600,0.001000,-0.001000,0,14.120,1.460,-0.780,0,165.26000,15.89000,-15.89000,0,0.000000,,,0,86.800,2.200,-1.000,0
CoRoT-27 b,Transit,3.57532000,0.00006000,-0.00006000,0,0.047600,0.006600,-0.006600,0,11.287,0.493,-0.493,0,3302.11000,174.80000,-174.80000,0,0.065000,,,1,86.700,1.200,-0.870,0
CoRoT-27 b,Transit,3.57532000,0.00006000,-0.00006000,0,0.046700,0.001500,-0.001700,0,11.287,0.493,-0.493,0,3273.64900,257.44230,-263.79890,0,0.034000,,,1,86.700,1.200,-0.870,0
CoRoT-28 b,Transit,5.20851000,0.00038000,-0.00038000,0,0.059000,0.002700,-0.002800,0,10.705,0.740,-0.740,0,152.87623,17.79848,-17.79848,0,0.071000,,,1,88.100,0.800,-0.800,0
CoRoT-28 b,Transit,5.20851000,0.00038000,-0.00038000,0,0.060300,0.005000,-0.005000,0,10.705,0.740,-0.740,0,153.82972,27.65121,-27.65121,0,0.047000,0.055000,-0.038000,0,88.100,0.800,-0.800,0
CoRoT-29 b,Transit,2.85056150,0.00000720,-0.00000720,0,,,,,,,,,,,,,,,,,85.800,0.320,-0.300,0
CoRoT-29 b,Transit,2.85057000,0.00000600,-0.00000600,0,0.038600,0.005900,-0.005900,0,10.088,1.793,-1.793,0,270.15550,63.56600,-63.56600,0,0.082000,0.081000,-0.081000,0,87.300,2.700,-2.700,0
CoRoT-29 b,Transit,2.85057000,0.00000600,-0.00000600,0,0.039000,0.001800,-0.002000,0,10.088,1.793,-1.793,0,266.97720,41.31790,-38.13960,0,0.120000,,,1,87.300,2.700,-2.700,0
